isla_fix,cluster_dbscan,n_fotos,lat,lon,fecha_min,fecha_max,Local,Turista,Desconocido,p_turista,p_local,n_fotos_turistico,n_fotos_local,nivel_turistico,nivel_local,indice_turista,r90_m
El Hierro,19,13,27.774069,-17.998642,2021-06-24 17:19:57,2025-08-02 13:52:08,0.0,1.0,0.0,1.0,0.0,13,0,4,1,1.0,125.31819482309523
El Hierro,20,13,27.848308,-17.923404,2021-08-04 12:48:56,2023-04-18 10:32:15,0.0,0.3076923076923077,0.6923076923076923,0.3076923076923077,0.0,4,0,2,1,0.3076923076923077,33.45482723413454
El Hierro,15,12,27.7420895,-17.987988,2021-06-08 15:15:03,2023-03-12 16:04:02,0.0,1.0,0.0,1.0,0.0,12,0,4,1,1.0,186.1473767629036
El Hierro,21,12,27.8395485,-17.947645,2021-09-14 14:07:24,2024-08-05 12:27:23,0.0,1.0,0.0,1.0,0.0,12,0,4,1,1.0,47.76254995703569
Fuerteventura,10,987,28.396297,-13.856614,2021-03-16 12:04:37,2026-01-26 11:10:34,0.2917933130699088,0.5045592705167173,0.20364741641337386,0.5045592705167173,0.2917933130699088,498,288,3,2,0.21276595744680854,640.3529413020455
Fuerteventura,54,531,28.167456,-14.209624,2023-05-09 18:07:44,2026-02-28 18:59:19,0.9811676082862524,0.015065913370998116,0.003766478342749529,0.015065913370998116,0.9811676082862524,8,521,1,4,-0.9661016949152542,126.03703977581111
Fuerteventura,6,321,28.42501,-14.057395,2021-02-22 11:13:44,2026-02-27 18:56:15,0.35514018691588783,0.5295950155763239,0.11526479750778816,0.5295950155763239,0.35514018691588783,170,114,3,2,0.1744548286604361,93.80894934762328
Fuerteventura,15,276,28.400204,-14.156566999999999,2021-01-19 15:52:36,2026-01-05 16:19:10,0.3188405797101449,0.45652173913043476,0.2246376811594203,0.45652173913043476,0.3188405797101449,126,88,2,2,0.13768115942028986,373.1168133481518
Fuerteventura,19,248,28.18603,-14.161552,2021-06-25 09:45:09,2025-09-23 16:09:52,0.7056451612903226,0.14919354838709678,0.14516129032258066,0.14919354838709678,0.7056451612903226,37,175,1,3,-0.5564516129032259,382.1527460202494
Fuerteventura,22,234,28.133022,-14.242336,2021-07-11 15:11:44,2026-03-02 18:29:18,0.7435897435897436,0.1794871794871795,0.07692307692307693,0.1794871794871795,0.7435897435897436,42,174,1,3,-0.5641025641025641,498.53681983933217
Fuerteventura,12,221,28.494683,-13.860406,2021-02-22 14:08:37,2026-01-26 17:01:02,0.027149321266968326,0.8733031674208145,0.09954751131221719,0.8733031674208145,0.027149321266968326,193,6,4,1,0.8461538461538461,601.4555732456543
Fuerteventura,9,210,28.217204,-14.2214655,2021-03-13 11:57:19,2026-03-01 18:51:10,0.4095238095238095,0.3476190476190476,0.24285714285714285,0.3476190476190476,0.4095238095238095,73,86,2,2,-0.06190476190476191,538.003644186864
Fuerteventura,2,176,28.23042,-13.948581,2021-01-17 08:04:17,2026-02-15 15:30:06,0.8920454545454546,0.07954545454545454,0.028409090909090908,0.07954545454545454,0.8920454545454546,14,157,1,4,-0.8125,48.086494741662236
Fuerteventura,11,155,28.452071,-13.869383,2021-05-13 12:14:09,2025-11-07 17:41:30,0.36129032258064514,0.5806451612903226,0.05806451612903226,0.5806451612903226,0.36129032258064514,90,56,3,2,0.21935483870967748,216.5365099473551
Fuerteventura,14,131,28.288066,-14.159928,2021-05-20 18:10:00,2026-01-05 17:59:54,0.35877862595419846,0.5343511450381679,0.10687022900763359,0.5343511450381679,0.35877862595419846,70,47,3,2,0.17557251908396948,273.9382163885742
Fuerteventura,7,115,28.191865,-14.117023,2021-03-03 20:57:52,2025-03-08 15:38:03,0.782608695652174,0.21739130434782608,0.0,0.21739130434782608,0.782608695652174,25,90,1,4,-0.5652173913043479,362.0951616575997
Fuerteventura,41,113,28.385476,-13.864048,2022-08-30 06:47:32,2025-11-06 16:43:06,0.17699115044247787,0.5486725663716814,0.2743362831858407,0.5486725663716814,0.17699115044247787,62,20,3,1,0.3716814159292035,306.9222118924992
Fuerteventura,4,108,28.379582,-14.0952,2021-01-25 14:43:29,2026-01-05 12:39:49,0.027777777777777776,0.8240740740740741,0.14814814814814814,0.8240740740740741,0.027777777777777776,89,3,4,1,0.7962962962962963,38.91317088339864
Fuerteventura,17,103,28.152222,-14.230278,2021-06-23 12:03:49,2026-02-27 12:57:49,0.7184466019417476,0.21359223300970873,0.06796116504854369,0.21359223300970873,0.7184466019417476,22,74,1,3,-0.5048543689320388,369.072149258134
Fuerteventura,42,90,28.3664025,-13.869888,2022-08-30 07:30:55,2026-02-06 14:38:39,0.1,0.8222222222222222,0.07777777777777778,0.8222222222222222,0.1,74,9,4,1,0.7222222222222222,271.418318183182
Fuerteventura,3,87,28.22852,-13.985477,2021-01-17 08:33:32,2026-02-15 15:27:36,0.8390804597701149,0.09195402298850575,0.06896551724137931,0.09195402298850575,0.8390804597701149,8,73,1,4,-0.7471264367816092,97.71096791707272
Fuerteventura,64,62,28.39728,-13.867045,2025-11-03 13:25:17,2025-11-07 14:58:25,0.0,1.0,0.0,1.0,0.0,62,0,4,1,1.0,100.88545015172805
Fuerteventura,50,61,28.43099,-14.012623,2023-01-31 17:05:14,2025-08-08 18:58:40,0.2786885245901639,0.6721311475409836,0.04918032786885246,0.6721311475409836,0.2786885245901639,41,17,3,2,0.39344262295081966,55.298160877844595
Fuerteventura,52,56,28.306942499999998,-13.954678,2023-03-02 13:09:55,2023-03-02 18:10:21,0.0,1.0,0.0,1.0,0.0,56,0,4,1,1.0,197.71068201841152
Fuerteventura,37,48,28.239239,-14.054539,2022-03-12 15:02:08,2022-03-12 15:12:26,0.0,1.0,0.0,1.0,0.0,48,0,4,1,1.0,0.09493529796600342
