isla_fix,cluster_hdbscan,Desconocido,Local,Turista
El Hierro,0,0.0,0.0,1.0
El Hierro,1,0.08208955223880597,0.0,0.917910447761194
El Hierro,2,0.06976744186046512,0.0,0.9302325581395349
El Hierro,3,0.0,0.0,1.0
El Hierro,4,0.19444444444444445,0.0,0.8055555555555556
El Hierro,5,0.0,0.0,1.0
El Hierro,6,0.0,0.6363636363636364,0.36363636363636365
El Hierro,7,0.0,0.0,1.0
El Hierro,8,0.0,0.0,1.0
El Hierro,9,0.07216494845360824,0.0,0.9278350515463918
El Hierro,10,0.037037037037037035,0.0,0.9629629629629629
El Hierro,11,0.08,0.0,0.92
El Hierro,12,0.01694915254237288,0.05084745762711865,0.9322033898305084
El Hierro,13,0.0,0.0,1.0
El Hierro,14,0.05084745762711865,0.0,0.9491525423728814
El Hierro,15,0.0,0.0,1.0
El Hierro,16,0.0,0.0,1.0
El Hierro,17,0.030612244897959183,0.0,0.9693877551020408
El Hierro,18,0.0,0.0,1.0
El Hierro,19,0.020833333333333332,0.0,0.9791666666666666
El Hierro,20,0.0,0.0,1.0
El Hierro,21,0.030303030303030304,0.0,0.9696969696969697
El Hierro,22,0.0,0.0136986301369863,0.9863013698630136
El Hierro,23,0.16666666666666666,0.020833333333333332,0.8125
El Hierro,24,0.0,0.026785714285714284,0.9732142857142857
Fuerteventura,0,0.017857142857142856,0.08928571428571429,0.8928571428571429
Fuerteventura,1,0.28,0.584,0.136
Fuerteventura,2,0.11627906976744186,0.5348837209302325,0.3488372093023256
Fuerteventura,3,0.0,0.0,1.0
Fuerteventura,4,0.0,0.5757575757575758,0.42424242424242425
Fuerteventura,5,0.0,0.0,1.0
Fuerteventura,6,0.0,0.9851851851851852,0.014814814814814815
Fuerteventura,7,0.14814814814814814,0.6666666666666666,0.18518518518518517
Fuerteventura,8,0.0,0.9032258064516129,0.0967741935483871
Fuerteventura,9,0.0,0.0,1.0
Fuerteventura,10,0.36363636363636365,0.09090909090909091,0.5454545454545454
Fuerteventura,11,0.2608695652173913,0.0,0.7391304347826086
Fuerteventura,12,0.0,0.8695652173913043,0.13043478260869565
Fuerteventura,13,0.03125,0.0,0.96875
Fuerteventura,14,0.029411764705882353,0.08823529411764706,0.8823529411764706
Fuerteventura,15,0.0,0.8857142857142857,0.11428571428571428
Fuerteventura,16,0.2647058823529412,0.0,0.7352941176470589
Fuerteventura,17,0.5,0.0,0.5
Fuerteventura,18,0.0,0.0,1.0
Fuerteventura,19,0.0,0.391304347826087,0.6086956521739131
Fuerteventura,20,0.0,0.125,0.875
Fuerteventura,21,0.0,0.7142857142857143,0.2857142857142857
Fuerteventura,22,0.6896551724137931,0.0,0.3103448275862069
Fuerteventura,23,0.05454545454545454,0.10909090909090909,0.8363636363636363
Fuerteventura,24,0.09230769230769231,0.0,0.9076923076923077
Fuerteventura,25,0.0,0.18181818181818182,0.8181818181818182
Fuerteventura,26,0.0,0.8461538461538461,0.15384615384615385
Fuerteventura,27,0.0,0.0,1.0
Fuerteventura,28,0.037037037037037035,0.07407407407407407,0.8888888888888888
Fuerteventura,29,0.0,1.0,0.0
Fuerteventura,30,0.0,0.9523809523809523,0.047619047619047616
Fuerteventura,31,0.011235955056179775,0.9887640449438202,0.0
Fuerteventura,32,0.0,0.9230769230769231,0.07692307692307693
Fuerteventura,33,0.05172413793103448,0.6551724137931034,0.29310344827586204
Fuerteventura,34,0.175,0.2,0.625
Fuerteventura,35,0.0,1.0,0.0
Fuerteventura,36,0.0,0.6,0.4
Fuerteventura,37,0.0,1.0,0.0
Fuerteventura,38,0.0,1.0,0.0
Fuerteventura,39,0.09523809523809523,0.3333333333333333,0.5714285714285714
Fuerteventura,40,0.17391304347826086,0.2826086956521739,0.5434782608695652
Fuerteventura,41,0.0,0.6944444444444444,0.3055555555555556
Fuerteventura,42,0.12903225806451613,0.5483870967741935,0.3225806451612903
Fuerteventura,43,0.0,0.9393939393939394,0.06060606060606061
Fuerteventura,44,0.01098901098901099,0.8021978021978022,0.18681318681318682
Fuerteventura,45,0.0,0.9583333333333334,0.041666666666666664
Fuerteventura,46,0.0,0.85,0.15
Fuerteventura,47,0.0,1.0,0.0
Fuerteventura,48,0.0,1.0,0.0
Fuerteventura,49,0.14423076923076922,0.028846153846153848,0.8269230769230769
Fuerteventura,50,0.0,0.8913043478260869,0.10869565217391304
Fuerteventura,51,0.0,0.04,0.96
Fuerteventura,52,0.6792452830188679,0.32075471698113206,0.0
