isla_fix,cluster_gmm,Desconocido,Local,Turista
El Hierro,0,0.03133903133903134,0.0,0.9686609686609686
El Hierro,1,0.031914893617021274,0.0,0.9680851063829787
El Hierro,2,0.009478672985781991,0.0,0.990521327014218
El Hierro,3,0.03205128205128205,0.028846153846153848,0.9391025641025641
El Hierro,4,0.05384615384615385,0.0,0.9461538461538461
El Hierro,5,0.03571428571428571,0.03571428571428571,0.9285714285714286
El Hierro,6,0.07954545454545454,0.0,0.9204545454545454
El Hierro,7,0.024193548387096774,0.0,0.9758064516129032
El Hierro,8,0.087248322147651,0.19463087248322147,0.7181208053691275
El Hierro,9,0.08860759493670886,0.0,0.9113924050632911
El Hierro,10,0.0,0.0,1.0
El Hierro,11,0.06976744186046512,0.0,0.9302325581395349
Fuerteventura,0,0.060810810810810814,0.805019305019305,0.13416988416988418
Fuerteventura,1,0.1680892974392646,0.23768877216021012,0.5942219304005253
Fuerteventura,2,0.20517560073937152,0.2532347504621072,0.5415896487985212
Fuerteventura,3,0.10810810810810811,0.12012012012012012,0.7717717717717718
Fuerteventura,4,0.11224489795918367,0.6352040816326531,0.25255102040816324
Fuerteventura,5,0.09650582362728785,0.7038269550748752,0.19966722129783693
Fuerteventura,6,0.06504065040650407,0.25365853658536586,0.6813008130081301
Fuerteventura,7,0.1111111111111111,0.3442622950819672,0.5446265938069217
Fuerteventura,8,0.08490566037735849,0.3443396226415094,0.5707547169811321
Fuerteventura,9,0.11688311688311688,0.17532467532467533,0.7077922077922078
Fuerteventura,10,0.21052631578947367,0.15311004784688995,0.6363636363636364
Fuerteventura,11,0.2796934865900383,0.3563218390804598,0.36398467432950193
Gran Canaria,0,0.021144278606965175,0.24004975124378108,0.7388059701492538
Gran Canaria,1,0.1798463624039765,0.3886127428829643,0.4315408947130592
Gran Canaria,2,0.35183511119146627,0.15367926233954077,0.49448562646899297
Gran Canaria,3,0.13618864292589028,0.43551491819056787,0.42829643888354185
Gran Canaria,4,0.13556618819776714,0.4449760765550239,0.4194577352472089
Gran Canaria,5,0.08523908523908524,0.0997920997920998,0.814968814968815
Gran Canaria,6,0.20220588235294118,0.08823529411764706,0.7095588235294118
Gran Canaria,7,0.06612641815235008,0.20226904376012966,0.7316045380875202
Gran Canaria,8,0.21711366538952745,0.21711366538952745,0.565772669220945
Gran Canaria,9,0.03461538461538462,0.8519230769230769,0.11346153846153846
Gran Canaria,10,0.060906515580736544,0.24220963172804533,0.6968838526912181
Gran Canaria,11,0.10035335689045936,0.23462897526501766,0.665017667844523
La Gomera,0,0.0761904761904762,0.05170068027210884,0.8721088435374149
La Gomera,1,0.23316062176165803,0.10362694300518134,0.6632124352331606
La Gomera,2,0.04741379310344827,0.2916666666666667,0.6609195402298851
La Gomera,3,0.19262981574539365,0.21943048576214405,0.5879396984924623
La Gomera,4,0.06653225806451613,0.16129032258064516,0.7721774193548387
La Gomera,5,0.1025,0.1575,0.74
La Gomera,6,0.21844660194174756,0.5145631067961165,0.2669902912621359
La Gomera,7,0.2555366269165247,0.07155025553662692,0.6729131175468483
La Gomera,8,0.04030710172744722,0.15355086372360843,0.8061420345489443
La Gomera,9,0.0,0.08823529411764706,0.9117647058823529
La Gomera,10,0.07407407407407407,0.4074074074074074,0.5185185185185185
La Gomera,11,0.040268456375838924,0.3221476510067114,0.6375838926174496
La Palma,0,0.0304601425793908,0.16396629941672067,0.8055735580038885
La Palma,1,0.029136316337148804,0.09885535900104059,0.8720083246618107
La Palma,2,0.07492795389048991,0.15129682997118155,0.7737752161383286
La Palma,3,0.1425925925925926,0.22962962962962963,0.6277777777777778
La Palma,4,0.08149171270718232,0.10082872928176796,0.8176795580110497
La Palma,5,0.03233392122281011,0.09347442680776014,0.8741916519694297
La Palma,6,0.01283147989734816,0.011976047904191617,0.9751924721984602
La Palma,7,0.05163511187607573,0.1721170395869191,0.7762478485370051
La Palma,8,0.08734602463605823,0.17469204927211646,0.7379619260918253
La Palma,9,0.008875739644970414,0.0029585798816568047,0.9881656804733728
La Palma,10,0.097911227154047,0.3276762402088773,0.5744125326370757
Lanzarote,0,0.11781609195402298,0.639367816091954,0.24281609195402298
Lanzarote,1,0.07516567840948726,0.5228461806766656,0.4019881409138472
Lanzarote,2,0.19806684141546527,0.41644823066841413,0.3854849279161206
Lanzarote,3,0.0,1.0,0.0
Lanzarote,4,0.30968501619075656,0.4707094495142773,0.21960553429496615
Lanzarote,5,0.08590102707749767,0.3716153127917834,0.5424836601307189
Lanzarote,6,0.1157649796393252,0.4258289703315881,0.4584060500290867
Lanzarote,7,0.10408366533864542,0.5712151394422311,0.3247011952191235
Lanzarote,8,0.06634819532908705,0.309447983014862,0.6242038216560509
Tenerife,0,0.15594713656387665,0.3590308370044053,0.48502202643171805
Tenerife,1,0.06548347613219094,0.18268053855569155,0.7518359853121175
Tenerife,2,0.18729575163398693,0.41299019607843135,0.3997140522875817
Tenerife,3,0.12415232133541992,0.34950443401147624,0.5263432446531038
Tenerife,4,0.1218568665377176,0.14119922630560927,0.7369439071566731
Tenerife,5,0.20382165605095542,0.29440905874026896,0.5017692852087756
Tenerife,6,0.12309820193637622,0.4367219917012448,0.44017980636237897
Tenerife,7,0.08312838170191834,0.3000491883915396,0.616822429906542
Tenerife,8,0.23835997220291869,0.37595552466990967,0.3856845031271717
Tenerife,9,0.16041397153945666,0.2716688227684347,0.5679172056921087
Tenerife,10,0.07894736842105263,0.11988304093567251,0.8011695906432749
Tenerife,11,0.07675317504141359,0.24682495858641634,0.67642186637217
